"Main Menu";"Menú Principal"
"----------------";"----------------"
"1: New Game";"1: Nuevo Juego"
"2: Load Game";"2: Cargar Juego"
"3: Exit";"3: Salir"
"----------------";"----------------"
"Choose the option you want: ";"Elige la opción que deseas: "
"ERROR: You can only choose between that 3 options";"ERROR: Solo puedes elegir entre esas 3 opciones"
"Do you want to load a saved game? (Select 0 to cancel and 1 to accept): ";"¿Quieres cargar una partida guardada? (Selecciona 0 para cancelar y 1 para aceptar): "
"No saved games available";"No hay partidas guardadas disponibles"
"The following saved games will be displayed:";"Se mostrarán las siguientes partidas guardadas:"
"Enter the number of the game you want to load: ";"Ingresa el número de la partida que deseas cargar: "
"Enter the ID of the card that has been drawn: ";"Ingresa el ID de la carta que ha sido sacada: "
"Whose turn is it? (1-RED, 2-GREEN, 3-BLUE, 4-BLACK) ";"¿A quién le toca? (1-ROJO, 2-VERDE, 3-AZUL, 4-NEGRO) "
"ERROR: You can only select from 1 to %d players";"ERROR: Solo puedes seleccionar de 1 a %d jugadores"
"It's  %s's turn";"Es el turno de %s"
"Please enter a valid ID between 00 and 81.";"Por favor, ingresa un ID válido entre 00 y 81."
"Enter the number of players for the game: ";"Ingresa el número de jugadores para el juego: "
"The number of players must be between 2 and 4";"El número de jugadores debe estar entre 2 y 4"
"config/MonopolyCode.txt";"config/MonopolyCode.txt"
"Error reading the file ";"Error al leer el archivo "
"Enter the game name: ";"Ingresa el nombre del juego: "
"You are going to save: ";"Vas a guardar: "
"Can not save the game";"No se puede guardar el juego"
"Select the language you want to play with: ";"Selecciona el idioma con el que quieres jugar: "
"config/languages";"config/languages"
"There are not languages available";"No hay idiomas disponibles"
"Select the number of the language do you want to play with: ";"Selecciona el número del idioma con el que quieres jugar: "
"You are going to play with the language: ";"Vas a jugar con el idioma: "
"Game Menu";"Menú del Juego"
"---------------";"---------------"
"1: Make transition";"1: Hacer transición"
"2: Ask for game status";"2: Solicitar estado del juego"
"3: Leave the game";"3: Salir del juego"
"---------------";"---------------"
"Choose the option you want: ";"Elige la opción que deseas: "
"Leaving the game...";"Saliendo del juego..."
"Player at index %d is null";"El jugador en el índice %d es nulo"
"Your properties are: ";"Tus propiedades son: "
"Which property do you want to sell? (Select with numbers): ";"¿Qué propiedad quieres vender? (Selecciona con números): "
"Do you want to sell another property? (Select 0 to cancel and 1 to confirm): ";"¿Quieres vender otra propiedad? (Selecciona 0 para cancelar y 1 para confirmar): "
"You have sold  + %s +  for  + %d";"Has vendido  + %s +  por  + %d"
"Do you want to sell %s? (Select 0 to cancel and 1 to confirm): ";"¿Quieres vender %s? (Selecciona 0 para cancelar y 1 para confirmar): "
"You have sold %s for %d";"Has vendido %s por %d"
"You are going to pay ";"Vas a pagar "
"Do you want to make the payment of %d €? (Select 0 to cancel and 1 to confirm)";"¿Quieres realizar el pago de %d €? (Selecciona 0 para cancelar y 1 para confirmar)"
"Enter the name of player %d: ";"Ingresa el nombre del jugador %d: "
"STREET MENU";"MENÚ DE CALLE"
"------------";"------------"
"1: Mortgage";"1: Hipotecar"
"2: Unmortgage";"2: Deshipotecar"
"3: Buy houses/hotels";"3: Comprar casas/hoteles"
"4: Sell houses/hotels";"4: Vender casas/hoteles"
"5: Nothing";"5: Nada"
"1: Buy Street";"1: Comprar Calle"
"2: Nothing";"2: Nada"
"The player %s has to pay to %s";"El jugador %s tiene que pagar a %s"
"Do you want to mortgage the property %s for %d€? (Select 0 to cancel and 1 to confirm): ";"¿Quieres hipotecar la propiedad %s por %d€? (Selecciona 0 para cancelar y 1 para confirmar): "
"You can not mortgage if you have any houses or hotels built. Do you want to sell them? (Select 0 to cancel and 1 to confirm): ";"No puedes hipotecar si tienes casas u hoteles construidos. ¿Quieres venderlos? (Selecciona 0 para cancelar y 1 para confirmar): "
"You are going to mortgage %s for %d euros";"Vas a hipotecar %s por %d euros"
"How many houses do you want to buy? ";"¿Cuántas casas quieres comprar? "
"Do you want to buy %d houses for %d? (Select 0 to cancel and 1 to confirm): ";"¿Quieres comprar %d casas por %d? (Selecciona 0 para cancelar y 1 para confirmar): "
"Cannot buy more than 4 houses, therefore, the only option is to buy a hotel";"No puedes comprar más de 4 casas, por lo tanto, la única opción es comprar un hotel"
"Do you want to buy a hotel? (Select 0 to cancel and 1 to confirm): ";"¿Quieres comprar un hotel? (Selecciona 0 para cancelar y 1 para confirmar): "
"This property has %d houses and %d hotels built";"Esta propiedad tiene %d casas y %d hoteles construidos"
"You can not buy anything more in this property";"No puedes comprar nada más en esta propiedad"
"You have paid %d euros for %d houses";"Has pagado %d euros por %d casas"
"You have paid %d euros for the hotel";"Has pagado %d euros por el hotel"
"You can not buy more than %d houses.";"No puedes comprar más de %d casas."
"How many houses do you want to sell? ";"¿Cuántas casas quieres vender? "
"What do you want to sell? (Select 0 for houses and 1 for hotel): ";"¿Qué quieres vender? (Selecciona 0 para casas y 1 para hotel): "
"Do you want to sell %d houses for %d euros? (Select 0 to cancel and 1 to confirm): ";"¿Quieres vender %d casas por %d euros? (Selecciona 0 para cancelar y 1 para confirmar): "
"Do you want to sell the hotel for %d euros? (Select 0 to cancel and 1 to confirm)";"¿Quieres vender el hotel por %d euros? (Selecciona 0 para cancelar y 1 para confirmar)"
"You are going to receive %d euros for %d houses";"Vas a recibir %d euros por %d casas"
"You are going to receive %d euros for the hotel";"Vas a recibir %d euros por el hotel"
"Do you want to buy %s for %d euros? (Select 0 for cancel and 1 to confirm): ";"¿Quieres comprar %s por %d euros? (Selecciona 0 para cancelar y 1 para confirmar): "
"You are going to pay %d euros for %s";"Vas a pagar %d euros por %s"
"Enter the number provided by the dice: ";"Ingresa el número proporcionado por los dados: "
"Do you want to buy %s for %d euros? (Select 0 for cancel and 1 to confirm): ";"¿Quieres comprar %s por %d euros? (Selecciona 0 para cancelar y 1 para confirmar): "
"You are going to pay %d euros for %s";"Vas a pagar %d euros por %s"
"You are the owner of %s. Do you want to mortgage it? (Select 0 to cancel and 1 to confirm): ";"Eres el propietario de %s. ¿Quieres hipotecarlo? (Selecciona 0 para cancelar y 1 para confirmar): "
"You are going to pay %d for mortgaging %s";"Vas a pagar %d por hipotecar %s"
"Do you want to buy %s for %d euros? (Select 0 for cancel and 1 to confirm): ";"¿Quieres comprar %s por %d euros? (Selecciona 0 para cancelar y 1 para confirmar): "
"You are going to pay %d euros for %s";"Vas a pagar %d euros por %s"
"You are the owner of %s. Do you want to mortgage it? (Select 0 to cancel and 1 to confirm): ";"Eres el propietario de %s. ¿Quieres hipotecarlo? (Selecciona 0 para cancelar y 1 para confirmar): "
"You are going to pay %d for mortgaging %s";"Vas a pagar %d por hipotecar %s"
"WELCOME TO MONOPOLY";"BIENVENIDO A MONOPOLY"
"Player %s has paid %d €";"El jugador %s ha pagado %d €"
"Player %s has earned %d €";"El jugador %s ha ganado %d €"
"El jugador %s ha pagado %d €";"Player %s has paid %d €"
